,title,is_transaction
0,Internet Transaction Journal from:bca.co.id,True
1,Your Grab E-Receipt from:grab.com,True
2,Your Grab E-Receipt from:grab.com,True
3,Internet Transaction Journal from:bca.co.id,True
4,📉 Surplus Neraca Perdagangan RI di Bawah Ekspektasi from:stockbit.com,False
5,Recommended: Chinese for Beginners from:m.learn.coursera.org,False
6,Perpanjangan Domain censored.org from:rumahweb.com,False
7,Tanda Terima Pembayaran Nomor #4554723 from:rumahweb.com,True
8,Invoice Layanan Rumahweb 4554723 from:rumahweb.com,False
9,✨ New from Google - Learn AI prompting from:m.learn.coursera.org,False
10,Pengumuman Daftar Saham yang Memiliki Notasi Khusus & Dalam Pemantauan Khusus from:stockbit.com,False
11,Internet Transaction Journal from:bca.co.id,True
12,Let's crush those body goals at FIT HUB with 7 days free trial 💪🏋️‍♀️ from:jago.com,False
13,Your Grab E-Receipt from:grab.com,True
14,☕ Kunci Investor untuk Sukses Jangka Panjang Hingga Prospek Harga CPO ke Depan from:stockbit.com,False
15,🛑 Powell Isyaratkan Perlambatan Pemangkasan Suku Bunga from:stockbit.com,False
16,Investasi ke Top Reksa Dana Pilihan Tim Analyst Bibit from:bibit.id,False
17,Your Grab ride e-receipt |  Business trip? Access Business profile for easy claiming from:grab.com,False
18,Sorry for the long wait. Here's a Rp10.000 voucher. from:grab.com,False
19,🦅 Indeks Dolar AS Menguat ke Level Tertinggi dalam 1 Tahun from:stockbit.com,False
20,Congrats on reaching 5 clicks in 28 days! from:google.com,False
21,Advance Booking: free personal accident coverage from:grab.com,False
22,Pesanan Selesai: “barang pesanan dummy” dan 1 Item Lainnya from:tokopedia.com,False
23,How will a Trump Presidency Impact Indonesia and Emerging Markets? from:bibit.id,False
24,🧩 ADRO: Analisis Skenario Spin–off AADI from:stockbit.com,False
25,Pesanan Selesai: “barang pesanan dummy” from:tokopedia.com,False
26,Your Grab E-Receipt from:grab.com,True
27,Your Grab E-Receipt from:grab.com,True
28,⏰ Menanti Formula Kenaikan UMP 2025 from:stockbit.com,False
29,Reminder: censored.org akan expire dalam 30 Hari from:rumahweb.com,False
30,You have made a transaction using your debit card from:jago.com,True
31,Checkout Pesanan dengan GoPay Tabungan by Jago Berhasil tanggal 12 November 2024 from:tokopedia.com,True
32,Your Grab E-Receipt from:grab.com,True
33,🔗 Sambungkan Akun Affiliatemu ke ShopTokopedia dan Nikmati Keuntungannya! from:newsletter.tokopedia.com,False
34,Your Grab E-Receipt from:grab.com,True
35,🚗 Penjualan Mobil Oktober 2024 Tertinggi Selama 2024 from:stockbit.com,False
36,"Cobain GoFood PAS, beli makan 11 ribu aja! 🥳 from:marketing.go-jek.com",False
37,Recommended: Chinese for Beginners from:m.learn.coursera.org,False
38,Checkout Pesanan dengan GoPay Tabungan by Jago Berhasil tanggal 11 November 2024 from:tokopedia.com,True
39,"🙋 Zalora's 20% off, anyone onboard? 🙋‍♀️ from:jago.com",False
40,Kupon ST012-T2 Kamu Sudah Cair ke RDN Wallet from:bibit.id,True
41,Kupon SR021-T3 Kamu Sudah Cair ke RDN Wallet from:bibit.id,True
42,Kupon SR020-T5 Kamu Sudah Cair ke RDN Wallet from:bibit.id,True
43,Kupon SBR013-T4 Kamu Sudah Cair ke RDN Wallet from:bibit.id,True
44,Say NO to online gambling🚫 from:jago.com,False
45,☕ Bertahan Sebagai Momentum Trader di Tengah Market Bearish hingga Strategi Rotasi Sektor from:stockbit.com,False
46,Pesanan Selesai: “barang pesanan dummy” from:tokopedia.com,False
47,Reinvestasi Kupon SBN Biar Makin Untung 💰 from:bibit.id,False
48,"✂️ The Fed Pangkas Suku Bunga 25 Bps, Sesuai Ekspektasi from:stockbit.com",False
49,Bibit Monthly Insight - October 2024 from:bibit.id,False
50,Statement of Account John Doe 08-10-2024 from:stockbit.com,True
51,Your Grab E-Receipt from:grab.com,True
52,Your Grab E-Receipt from:grab.com,True
53,📢 Info penyesuaian diskon di Gojek PLUS from:marketing.go-jek.com,False
54,Your Grab E-Receipt from:grab.com,True
55,"🤳 EXCL 9M24: di Bawah Ekspektasi, Tren ARPU Turun from:stockbit.com",False
56,Internet Transaction Journal from:bca.co.id,True
57,Internet Transaction Journal from:bca.co.id,True
58,⚠️Your Gmail storage is 92% full from:google.com,False
59,"🦅 Trump Unggul Hasil Quick Count, IHSG Tertekan from:stockbit.com",False
60,Internet Transaction Journal from:bca.co.id,True
61,Internet Transaction Journal from:bca.co.id,True
62,Your Grab E-Receipt from:grab.com,True
63,"Investing Early is not Enough, Here’s What You Gotta Know from:bibit.id",False
64,Your Jago Pocket has received some money from GoPay from:jago.com,True
65,Your Google Play Order Receipt from 6 Nov 2024 from:google.com,True
66,📌🔜Info penyesuaian diskon di Gojek PLUS from:marketing.go-jek.com,False
67,Your Grab E-Receipt from:grab.com,True
68,"🛝 Ekonomi Indonesia Melandai ke +4,95% YoY pada 3Q24 from:stockbit.com",False
69,Checkout Pesanan dengan GoPay Tabungan by Jago Berhasil tanggal 5 November 2024 from:tokopedia.com,True
70,Bukti Pembayaran BPJS di GoPay from:gotagihan.gojek.com,True
71,Internet Transaction Journal from:bca.co.id,True
72,Your Payment Receipt for Indihome on GoPay from:gotagihan.gojek.com,True
73,Bukti Pembayaran PLN Pascabayar di GoPay from:gotagihan.gojek.com,True
74,Bukti Pembayaran BPJS di GoPay from:gotagihan.gojek.com,True
75,Your Payment Receipt for PDAM Kota Surabaya on GoPay from:gotagihan.gojek.com,True
76,Your Jago Pocket has received some money from GoPay from:jago.com,True
77,Internet Transaction Journal from:bca.co.id,True
78,Burger 🍔 + Chicken 🍗 = Cashback 50% with Chigo x Flip 🤤 from:jago.com,False
79,Recommended: Chinese for Beginners from:m.learn.coursera.org,False
80,Your Grab E-Receipt from:grab.com,True
81,OVO QR Payment Receipt from:ovo.co.id,True
82,OVO QR Payment Receipt from:ovo.co.id,True
83,Your October Search performance for censored.org from:google.com,False
84,Your Grab E-Receipt from:grab.com,True
85,👎 Data Manufaktur dan Ketenagakerjaan AS Melemah from:stockbit.com,False
86,Internet Transaction Journal from:bca.co.id,True
87,Internet Transaction Journal from:bca.co.id,True
88,Internet Transaction Journal from:bca.co.id,True
89,Pesanan Selesai: “barang pesanan dummy” dan 2 Item Lainnya from:tokopedia.com,False
90,Pesanan Selesai: “barang pesanan dummy” dan 1 Item Lainnya from:tokopedia.com,False
91,🍿📺 Plot twist: Genflix subscriptions come at a steal with Jago's deals from:jago.com,False
92,Checkout Pesanan dengan OVO Points Berhasil tanggal 3 November 2024 from:tokopedia.com,True
93,Pesanan Selesai: “barang pesanan dummy” from:tokopedia.com,False
94,Password telah berhasil direset from:rumahweb.com,False
95,Konfirmasi Reset Password from:rumahweb.com,False
96,Checkout Pesanan dengan GoPay Tabungan by Jago Berhasil tanggal 2 November 2024 from:tokopedia.com,False
97,☕ Screener Untuk Mencari Growth Stock hingga Ekspektasi Yang Menjerumuskan Investor from:stockbit.com,False
98,"👇 Inflasi RI 1,71% YoY pada Oktober 2024, Terendah Sejak Oktober 2021 from:stockbit.com",False
99,Checkout Pesanan dengan GoPay Tabungan by Jago Berhasil tanggal 1 November 2024 from:tokopedia.com,False
100,OVO QR Payment Receipt from:ovo.co.id,True
101,Return Reksa Dana Pasar Uang Lebih Tinggi dari Deposito from:bibit.id,True
102,"🍜 INDF: Laba Bersih Didorong Keuntungan Kurs, Operasional Masih Solid from:stockbit.com",False
103,Your Grab E-Receipt from:grab.com,True
104,Boost your workflow with new Tx Flows & advanced data type control! from:sqldbm.com,False
105,New—Google Prompting Essentials course is here! from:m.learn.coursera.org,False
106,Internet Transaction Journal from:bca.co.id,True
107,Internet Transaction Journal from:bca.co.id,True
108,Internet Transaction Journal from:bca.co.id,True
109,"🛵 ASII 3Q24: Laba Bersih Tumbuh Solid, Lampaui Ekspektasi from:stockbit.com",False
110,Kinerja Reksa Dana yang Uptrend dalam Jangka Panjang 📈 from:bibit.id,False
111,Your Grab E-Receipt from:grab.com,True
112,⚽ Watch Champions League only for 30k  from:jago.com,False
113,OVO QR Payment Receipt from:ovo.co.id,True
114,OVO QR Payment Receipt from:ovo.co.id,True
115,OVO QR Payment Receipt from:ovo.co.id,True
116,Your Grab E-Receipt from:grab.com,True
117,"☕ MYOR 3Q24: Rugi Kurs dan Margin Kembali Tertekan, di Bawah Ekspektasi from:stockbit.com",False
118,Pesanan Selesai: “barang pesanan dummy” dan 1 Item Lainnya from:tokopedia.com,True
119,Your Grab E-Receipt from:grab.com,True
120,OVO QR Payment Receipt from:ovo.co.id,True
121,OVO QR Payment Receipt from:ovo.co.id,True
122,OVO QR Payment Receipt from:ovo.co.id,True
123,Your Grab E-Receipt from:grab.com,True
124,"💻 MSTI: Kinerja Kuat pada 3Q24, Lampaui Ekspektasi from:stockbit.com",False
125,Your Grab E-Receipt from:grab.com,True
126,OVO QR Payment Receipt from:ovo.co.id,True
127,Your Grab E-Receipt from:grab.com,True
128,"Let's start saving on gold, Jagoan from:jago.com",False
129,OVO QR Payment Receipt from:ovo.co.id,True
130,Pesanan Selesai: “barang pesanan dummy” dan 1 Item Lainnya from:tokopedia.com,False
131,Internet Transaction Journal from:bca.co.id,True
132,Pesanan Selesai: “barang pesanan dummy” dan 1 Item Lainnya from:tokopedia.com,False
133,BARU! Instant Redemption Langsung Cair ke RDN from:bibit.id,False
134,"John, udah liat produk ini? from:newsletter.tokopedia.com",False
135,😱Beware of fake Jago’s contacts on Gmaps! from:jago.com,False
136,Checkout Pesanan dengan GoPay Tabungan by Jago Berhasil tanggal 26 Oktober 2024 from:tokopedia.com,True
137,Checkout Pesanan dengan GoPay Tabungan by Jago Berhasil tanggal 26 Oktober 2024 from:tokopedia.com,True
138,☕ Memahami Setup Trading yang Baik hingga Mempersempit Ketidakpastian dalam Investasi from:stockbit.com,False
139,Investasikan Gaji ke Top Reksa Dana Pasar Uang 🏆 from:bibit.id,False
140,We’re updating our Terms and Community Standards from:facebookmail.com,False
141,"⏬ AKRA: Rendahnya Pemulihan Kinerja 3Q24, di Bawah Ekspektasi from:stockbit.com",False
142,Goodbye from our Newsletter from:rumahweb.co.id,False
